FL_DATE,OP_CARRIER,OP_CARRIER_FL_NUM,ORIGIN,DEST,CRS_DEP_TIME,CRS_ARR_TIME,CRS_ELAPSED_TIME,DISTANCE,CANCELLATION_DESCRIPTION
2018-01-01,UA,2034,IAH,MFE,1440,1601,81.0,316.0,Weather
2018-01-01,UA,864,LAS,SFO,1744,1926,102.0,414.0,Airline/Carrier
2018-01-01,UA,488,MFE,IAH,1726,1844,78.0,316.0,Weather
2018-01-01,AS,5,DCA,LAX,910,1230,380.0,2311.0,Airline/Carrier
2018-01-01,AS,64,WRG,KTN,1623,1655,32.0,82.0,Weather
2018-01-01,AS,65,WRG,PSG,1056,1119,23.0,31.0,Weather
2018-01-01,AS,65,PSG,JNU,1204,1249,45.0,123.0,Weather
2018-01-01,AS,73,SIT,JNU,600,641,41.0,95.0,Airline/Carrier
2018-01-01,AS,162,FAI,ANC,545,652,67.0,261.0,Airline/Carrier
2018-01-01,AS,313,SFO,SEA,500,716,136.0,679.0,Airline/Carrier
2018-01-01,EV,2853,SAF,DFW,650,946,116.0,551.0,Airline/Carrier
2018-01-01,EV,2857,ROW,DFW,700,935,95.0,435.0,Airline/Carrier
2018-01-01,EV,2864,COU,DFW,545,742,117.0,489.0,Airline/Carrier
2018-01-01,EV,2872,DFW,GRK,904,1005,61.0,134.0,Airline/Carrier
2018-01-01,EV,2872,GRK,DFW,1035,1135,60.0,134.0,Airline/Carrier
2018-01-01,EV,4004,DCA,CLE,645,815,90.0,310.0,National Air System
2018-01-01,EV,4101,IAH,BRO,1005,1130,85.0,308.0,Weather
2018-01-01,EV,5456,MSP,RIC,1530,1912,162.0,970.0,Airline/Carrier
2018-01-01,EV,4197,IAH,LRD,1005,1133,88.0,301.0,Weather
2018-01-01,EV,4217,BRO,IAH,1200,1319,79.0,308.0,Weather
2018-01-01,EV,4246,IAH,LRD,1420,1540,80.0,301.0,Weather
2018-01-01,EV,4350,LRD,IAH,1610,1725,75.0,301.0,Weather
2018-01-01,EV,4392,LRD,IAH,1203,1320,77.0,301.0,Weather
2018-01-01,F9,459,MSP,DEN,535,704,149.0,680.0,Airline/Carrier
2018-01-01,F9,1779,ISP,MCO,600,900,180.0,971.0,Weather
2018-01-01,F9,874,PBI,TTN,1810,2049,159.0,985.0,Airline/Carrier
2018-01-01,F9,1144,LAS,SAT,1450,1922,152.0,1069.0,Weather
2018-01-01,F9,1145,SAT,LAS,2015,2115,180.0,1069.0,Weather
2018-01-01,F9,1518,ONT,SAT,1201,1649,168.0,1166.0,Weather
2018-01-01,F9,1518,SAT,IAD,1739,2151,192.0,1362.0,Weather
2018-01-01,F9,1701,MSY,SAT,840,1025,105.0,494.0,Weather
2018-01-01,F9,1701,SAT,SAN,1115,1220,185.0,1129.0,Weather
2018-01-01,F9,1702,SAN,SAT,1323,1800,157.0,1129.0,Weather
2018-01-01,F9,1702,SAT,MSY,1850,2010,80.0,494.0,Weather
2018-01-01,F9,1772,GRR,MCO,1330,1625,175.0,1024.0,Airline/Carrier
2018-01-01,MQ,3483,BNA,DFW,1140,1355,135.0,631.0,Weather
2018-01-01,MQ,3483,DFW,BNA,910,1103,113.0,631.0,Weather
2018-01-01,MQ,3514,ORD,EVV,2145,2253,68.0,272.0,Airline/Carrier
2018-01-01,MQ,3516,AEX,DFW,1945,2105,80.0,285.0,Weather
2018-01-01,MQ,3524,DFW,AEX,1745,1852,67.0,285.0,Weather
2018-01-01,MQ,3555,SJT,DFW,630,735,65.0,229.0,Weather
2018-01-01,MQ,3557,ELP,DFW,1035,1318,103.0,551.0,Weather
2018-01-01,MQ,3564,DFW,SHV,900,1002,62.0,190.0,Weather
2018-01-01,MQ,3564,SHV,DFW,1031,1140,69.0,190.0,Weather
2018-01-01,MQ,3576,TLH,DFW,830,1003,153.0,767.0,Weather
2018-01-01,MQ,3582,DFW,SGF,810,926,76.0,364.0,Weather
2018-01-01,MQ,3582,SGF,DFW,956,1135,99.0,364.0,Weather
2018-01-01,MQ,3584,GRR,ORD,917,926,69.0,137.0,Airline/Carrier
2018-01-01,MQ,3591,DFW,ELP,900,951,111.0,551.0,Weather
2018-01-01,MQ,3607,OKC,DFW,700,804,64.0,175.0,Weather
2018-01-01,MQ,3631,XNA,DFW,630,755,85.0,280.0,Weather
2018-01-01,MQ,3633,DFW,LFT,1225,1345,80.0,351.0,Weather
2018-01-01,MQ,3633,LFT,DFW,1415,1549,94.0,351.0,Weather
2018-01-01,MQ,3656,CID,DFW,700,925,145.0,685.0,Weather
2018-01-01,MQ,3661,ALB,ORD,1717,1851,154.0,723.0,Weather
2018-01-01,MQ,3661,ORD,ALB,1245,1539,114.0,723.0,Weather
2018-01-01,MQ,3268,ATL,ORD,1903,2014,131.0,606.0,Airline/Carrier
2018-01-01,MQ,3281,TXK,DFW,1030,1138,68.0,181.0,Weather
2018-01-01,MQ,3284,DFW,LAW,1250,1345,55.0,140.0,Weather
2018-01-01,MQ,3284,LAW,DFW,1415,1511,56.0,140.0,Weather
2018-01-01,MQ,3286,TXK,DFW,2150,2259,69.0,181.0,Airline/Carrier
2018-01-01,MQ,3300,LAW,DFW,630,726,56.0,140.0,Weather
2018-01-01,MQ,3302,LIT,DFW,2141,2308,87.0,304.0,Airline/Carrier
