FL_DATE,OP_CARRIER,OP_CARRIER_FL_NUM,ORIGIN,DEST,CRS_DEP_TIME,DEP_DELAY,CRS_ARR_TIME,ARR_DELAY,AIR_TIME,DISTANCE,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY
2018-01-01,UA,2416,ORD,CLE,2059,121.0,2311,129.0,48.0,316.0,121.0,0.0,8.0,0.0,0.0
2018-01-01,UA,2413,ORD,BTV,2114,76.0,15,73.0,99.0,763.0,0.0,11.0,0.0,0.0,62.0
2018-01-01,UA,2412,MCO,LAX,653,54.0,930,55.0,302.0,2218.0,54.0,0.0,1.0,0.0,0.0
2018-01-01,UA,2411,EWR,SMF,1810,72.0,2136,25.0,319.0,2500.0,7.0,0.0,0.0,0.0,18.0
2018-01-01,UA,2410,RSW,EWR,1250,47.0,1537,29.0,131.0,1068.0,29.0,0.0,0.0,0.0,0.0
2018-01-01,UA,2398,MSY,EWR,2043,48.0,34,27.0,133.0,1167.0,27.0,0.0,0.0,0.0,0.0
2018-01-01,UA,2160,ORD,MCI,2030,41.0,2209,26.0,58.0,403.0,0.0,26.0,0.0,0.0,0.0
2018-01-01,UA,2155,IND,ORD,1822,94.0,1835,75.0,42.0,177.0,0.0,18.0,0.0,0.0,57.0
2018-01-01,UA,2153,EWR,BTV,2145,134.0,2302,124.0,51.0,266.0,12.0,0.0,0.0,0.0,112.0
2018-01-01,UA,2150,LAX,SAN,602,299.0,701,291.0,29.0,109.0,0.0,0.0,291.0,0.0,0.0
2018-01-01,UA,2143,SFO,SAN,835,-5.0,1007,28.0,71.0,447.0,0.0,0.0,28.0,0.0,0.0
2018-01-01,UA,2133,ALB,ORD,615,93.0,746,64.0,108.0,723.0,64.0,0.0,0.0,0.0,0.0
2018-01-01,UA,2126,MCO,LAX,1938,13.0,2220,16.0,301.0,2218.0,13.0,0.0,3.0,0.0,0.0
2018-01-01,UA,2107,DEN,LAX,552,-5.0,738,28.0,125.0,862.0,0.0,0.0,28.0,0.0,0.0
2018-01-01,UA,2106,ORD,FLL,1350,82.0,1758,72.0,158.0,1182.0,13.0,0.0,0.0,0.0,59.0
2018-01-01,UA,2105,IAH,SAT,1420,45.0,1527,30.0,37.0,191.0,30.0,0.0,0.0,0.0,0.0
2018-01-01,UA,2096,SNA,IAH,1345,144.0,1856,117.0,141.0,1346.0,117.0,0.0,0.0,0.0,0.0
2018-01-01,UA,2094,SAN,IAH,800,271.0,1310,269.0,146.0,1303.0,0.0,0.0,0.0,0.0,269.0
2018-01-01,UA,2072,ORD,FLL,1935,45.0,2344,31.0,152.0,1182.0,0.0,31.0,0.0,0.0,0.0
2018-01-01,UA,2062,EWR,BOS,2159,111.0,2309,100.0,38.0,200.0,0.0,9.0,0.0,0.0,91.0
2018-01-01,UA,2055,SFO,PDX,1230,75.0,1422,62.0,79.0,550.0,5.0,0.0,0.0,0.0,57.0
2018-01-01,UA,2054,PDX,SFO,1520,46.0,1710,34.0,80.0,550.0,5.0,0.0,0.0,0.0,29.0
2018-01-01,UA,2050,MYR,EWR,1300,29.0,1457,15.0,77.0,550.0,0.0,0.0,15.0,0.0,0.0
2018-01-01,UA,2041,EWR,DEN,1657,161.0,1925,132.0,218.0,1605.0,16.0,0.0,0.0,0.0,116.0
2018-01-01,UA,2022,SJU,IAD,1355,224.0,1650,219.0,209.0,1571.0,219.0,0.0,0.0,0.0,0.0
2018-01-01,UA,2011,JAC,ORD,1209,125.0,1613,117.0,143.0,1162.0,0.0,0.0,0.0,0.0,117.0
2018-01-01,UA,2001,ORD,LAX,900,104.0,1147,75.0,235.0,1744.0,0.0,75.0,0.0,0.0,0.0
2018-01-01,UA,1997,EWR,BOS,1037,250.0,1149,234.0,37.0,200.0,0.0,0.0,0.0,0.0,234.0
2018-01-01,UA,1992,EWR,IAD,1502,30.0,1625,21.0,46.0,212.0,18.0,0.0,0.0,0.0,3.0
2018-01-01,UA,1988,ORD,SFO,705,49.0,950,57.0,254.0,1846.0,0.0,49.0,8.0,0.0,0.0
2018-01-01,UA,1987,PBI,EWR,800,40.0,1046,24.0,132.0,1023.0,24.0,0.0,0.0,0.0,0.0
2018-01-01,UA,1985,EWR,RSW,1603,160.0,1915,157.0,165.0,1068.0,0.0,3.0,0.0,0.0,154.0
2018-01-01,UA,1945,SEA,IAH,500,64.0,1117,32.0,207.0,1874.0,32.0,0.0,0.0,0.0,0.0
2018-01-01,UA,1939,EWR,MCO,740,22.0,1038,18.0,149.0,937.0,0.0,18.0,0.0,0.0,0.0
2018-01-01,UA,1936,ORD,DTW,1345,28.0,1605,24.0,45.0,235.0,0.0,24.0,0.0,0.0,0.0
2018-01-01,UA,1935,PBI,EWR,1906,44.0,2159,27.0,133.0,1023.0,17.0,0.0,0.0,0.0,10.0
2018-01-01,UA,1930,SAT,IAH,1610,34.0,1713,72.0,41.0,191.0,12.0,0.0,38.0,0.0,22.0
2018-01-01,UA,1924,TPA,EWR,2027,82.0,2314,61.0,122.0,997.0,61.0,0.0,0.0,0.0,0.0
2018-01-01,UA,1923,EWR,MIA,1606,111.0,1917,101.0,157.0,1085.0,0.0,4.0,0.0,0.0,97.0
2018-01-01,UA,1919,SFO,PSP,1045,44.0,1218,50.0,63.0,421.0,44.0,0.0,6.0,0.0,0.0
2018-01-01,UA,1917,DEN,AUS,2027,79.0,2335,63.0,93.0,775.0,63.0,0.0,0.0,0.0,0.0
2018-01-01,UA,1916,IAH,SAN,1830,31.0,2002,24.0,182.0,1303.0,4.0,0.0,0.0,0.0,20.0
2018-01-01,UA,1898,PBI,EWR,952,55.0,1238,59.0,139.0,1023.0,55.0,0.0,4.0,0.0,0.0
2018-01-01,UA,1897,LAX,ORD,1410,146.0,2011,128.0,205.0,1744.0,128.0,0.0,0.0,0.0,0.0
2018-01-01,UA,1893,SFO,DEN,1702,69.0,2027,62.0,118.0,967.0,0.0,0.0,0.0,0.0,62.0
2018-01-01,UA,1892,EWR,BDL,2159,48.0,2300,40.0,28.0,116.0,40.0,0.0,0.0,0.0,0.0
2018-01-01,UA,1891,ORD,SFO,1010,319.0,1249,295.0,240.0,1846.0,0.0,0.0,0.0,0.0,295.0
2018-01-01,UA,1886,BDL,DEN,759,92.0,1027,86.0,230.0,1671.0,86.0,0.0,0.0,0.0,0.0
2018-01-01,UA,1883,ORD,SJC,1948,45.0,2232,24.0,234.0,1829.0,24.0,0.0,0.0,0.0,0.0
2018-01-01,UA,1873,BDL,IAD,1025,53.0,1149,50.0,60.0,326.0,0.0,50.0,0.0,0.0,0.0
2018-01-01,UA,1869,EWR,MCO,1518,36.0,1813,38.0,142.0,937.0,36.0,0.0,2.0,0.0,0.0
2018-01-01,UA,1867,IAH,EWR,2005,101.0,30,82.0,160.0,1400.0,82.0,0.0,0.0,0.0,0.0
2018-01-01,UA,1866,EWR,DFW,2039,47.0,2346,61.0,203.0,1372.0,47.0,0.0,14.0,0.0,0.0
2018-01-01,UA,1863,LAX,SFO,915,88.0,1100,66.0,54.0,337.0,0.0,0.0,0.0,0.0,66.0
2018-01-01,UA,1857,EWR,RSW,2047,30.0,2359,48.0,172.0,1068.0,30.0,0.0,18.0,0.0,0.0
2018-01-01,UA,1850,MCO,ORD,1050,45.0,1246,25.0,139.0,1005.0,25.0,0.0,0.0,0.0,0.0
2018-01-01,UA,1847,ORD,SFO,1536,44.0,1825,18.0,242.0,1846.0,0.0,1.0,0.0,0.0,17.0
