FL_DATE,OP_CARRIER,OP_CARRIER_FL_NUM,City_ORIGIN,City_DEST
2018-01-01,UA,2429,New York / Newark,Denver
2018-01-01,UA,2427,Las Vegas,San Francisco
2018-01-01,UA,2426,Orange County,Denver
2018-01-01,UA,2425,Fort Myers,Chicago
2018-01-01,UA,2424,Chicago,Albany
2018-01-01,UA,2422,Chicago,Omaha
2018-01-01,UA,2421,Houston,Las Vegas
2018-01-01,UA,2420,Denver,Cedar Rapids
2018-01-01,UA,2419,Sacramento,New York / Newark
2018-01-01,UA,2418,Richmond,Denver
2018-01-01,UA,2417,Portland,New York / Newark
2018-01-01,UA,2416,Chicago,Cleveland
2018-01-01,UA,2415,New York / Newark,Portland
2018-01-01,UA,2414,New York / Newark,Atlanta
2018-01-01,UA,2413,Chicago,Burlington
2018-01-01,UA,2412,Orlando,Los Angeles
2018-01-01,UA,2411,New York / Newark,Sacramento
2018-01-01,UA,2410,Fort Myers,New York / Newark
2018-01-01,UA,2409,Houston,Jackson Hole
2018-01-01,UA,2408,Knoxville,New York / Newark
2018-01-01,UA,2406,New York / Newark,Knoxville
2018-01-01,UA,2405,San Francisco,Houston
2018-01-01,UA,2404,Fort Myers,Chicago
2018-01-01,UA,2403,San Francisco,"Honolulu, Oahu"
2018-01-01,UA,2402,Jackson Hole,New York / Newark
2018-01-01,UA,2400,Boston,San Francisco
2018-01-01,UA,2399,Chicago,Miami
2018-01-01,UA,2398,New Orleans,New York / Newark
2018-01-01,UA,2397,Miami,Houston
2018-01-01,UA,2394,New York / Newark,Los Angeles
2018-01-01,UA,2393,Seattle / Tacoma (SeaTac),Houston
2018-01-01,UA,2392,San Antonio,Houston
2018-01-01,UA,2391,Salt Lake City,New York / Newark
2018-01-01,UA,2390,Orlando,San Francisco
2018-01-01,UA,2389,New Orleans,"Washington, D.C. / Dulles / Chantilly"
2018-01-01,UA,2388,Denver,Richmond
2018-01-01,UA,2386,Chicago,Fort Myers
2018-01-01,UA,2386,Raleigh,Chicago
2018-01-01,UA,2385,Denver,Chicago
2018-01-01,UA,2384,New York / Newark,Fort Lauderdale
2018-01-01,UA,2381,Miami,Chicago
2018-01-01,UA,2381,Chicago,San Diego
2018-01-01,UA,2380,Fort Lauderdale,New York / Newark
2018-01-01,UA,2173,"Washington, D.C. / Dulles / Chantilly",Denver
2018-01-01,UA,2172,New York / Newark,Houston
2018-01-01,UA,2171,Dallas,"Washington, D.C. / Dulles / Chantilly"
2018-01-01,UA,2170,Denver,Salt Lake City
2018-01-01,UA,2169,Denver,Portland
2018-01-01,UA,2168,Denver,Wichita
2018-01-01,UA,2167,Denver,New York / Newark
2018-01-01,UA,2166,Anchorage,Denver
2018-01-01,UA,2165,Minneapolis,Chicago
2018-01-01,UA,2164,Albany,Chicago
2018-01-01,UA,2163,San Francisco,Reno
2018-01-01,UA,2162,San Francisco,Eugene
2018-01-01,UA,2161,Chicago,Orlando
2018-01-01,UA,2160,Chicago,Kansas City
2018-01-01,UA,2159,Chicago,Detroit
2018-01-01,UA,2158,Chicago,Charlotte
2018-01-01,UA,2157,Los Angeles,Denver
2018-01-01,UA,2156,San Francisco,Cleveland
2018-01-01,UA,2155,Indianapolis,Chicago
2018-01-01,UA,2154,"Washington, D.C. / Dulles / Chantilly",Fort Lauderdale
2018-01-01,UA,2153,New York / Newark,Burlington
2018-01-01,UA,2152,San Francisco,"Washington, D.C. / Dulles / Chantilly"
2018-01-01,UA,2151,San Francisco,Boston
2018-01-01,UA,2150,Los Angeles,San Diego
2018-01-01,UA,2149,Los Angeles,Chicago
2018-01-01,UA,2148,San Diego,New York / Newark
2018-01-01,UA,2147,New York / Newark,Chicago
2018-01-01,UA,2146,Nashville,Houston
2018-01-01,UA,2145,Hartford,New York / Newark
2018-01-01,UA,2144,Albuquerque,Houston
2018-01-01,UA,2143,San Francisco,San Diego
2018-01-01,UA,2142,San Francisco,Phoenix
2018-01-01,UA,2141,New Orleans,Denver
2018-01-01,UA,2140,Savannah,New York / Newark
2018-01-01,UA,2138,Orlando,Chicago
2018-01-01,UA,2137,Denver,Bozeman
2018-01-01,UA,2136,Boston,"Washington, D.C. / Dulles / Chantilly"
2018-01-01,UA,2135,Denver,"Washington, D.C. / Dulles / Chantilly"
2018-01-01,UA,2135,Phoenix,Denver
2018-01-01,UA,2134,Austin,Houston
2018-01-01,UA,2134,Houston,New Orleans
2018-01-01,UA,2133,Albany,Chicago
2018-01-01,UA,2133,Chicago,Las Vegas
2018-01-01,UA,2132,Philadelphia,San Francisco
2018-01-01,UA,2131,Houston,Chicago
2018-01-01,UA,2130,Los Angeles,New York / Newark
2018-01-01,UA,2129,San Jose,Chicago
2018-01-01,UA,2128,San Francisco,Miami
2018-01-01,UA,2127,San Francisco,Los Angeles
2018-01-01,UA,2126,Orlando,Los Angeles
2018-01-01,UA,2124,Orlando,New York / Newark
2018-01-01,UA,2123,Austin,San Francisco
2018-01-01,UA,2122,Denver,San Jose
2018-01-01,UA,2121,Houston,New York / Newark
2018-01-01,UA,2120,Los Angeles,Chicago
2018-01-01,UA,2119,Nashville,San Francisco
2018-01-01,UA,2118,Denver,Minneapolis
2018-01-01,UA,2117,Los Angeles,New York / Newark
2018-01-01,UA,2116,Chicago,Houston
2018-01-01,UA,2115,Houston,Las Vegas
2018-01-01,UA,2114,Houston,West Palm Beach
2018-01-01,UA,2113,Philadelphia,Houston
2018-01-01,UA,2112,Seattle / Tacoma (SeaTac),Houston
2018-01-01,UA,2111,San Antonio,Houston
2018-01-01,UA,2110,Houston,Dallas
2018-01-01,UA,2109,Dallas,Houston
2018-01-01,UA,2108,San Antonio,Houston
2018-01-01,UA,2107,Denver,Los Angeles
2018-01-01,UA,2106,Chicago,Fort Lauderdale
2018-01-01,UA,2106,Norfolk,Chicago
2018-01-01,UA,2105,Houston,San Antonio
2018-01-01,UA,2104,"Washington, D.C. / Arlington County",Denver
2018-01-01,UA,2103,Houston,Orlando
2018-01-01,UA,2102,Houston,Las Vegas
2018-01-01,UA,2101,Houston,San Francisco
2018-01-01,UA,2100,Houston,Fort Lauderdale
2018-01-01,UA,2099,San Diego,Houston
2018-01-01,UA,2098,New York,Houston
2018-01-01,UA,2097,Houston,Los Angeles
2018-01-01,UA,2096,Orange County,Houston
2018-01-01,UA,2095,Houston,Austin
2018-01-01,UA,2094,Houston,New York
2018-01-01,UA,2094,San Diego,Houston
2018-01-01,UA,2093,Dallas,San Francisco
2018-01-01,UA,2092,Baltimore,Houston
2018-01-01,UA,2091,Miami,Houston
2018-01-01,UA,2090,Los Angeles,"Washington, D.C. / Dulles / Chantilly"
2018-01-01,UA,2089,Pittsburgh,Denver
2018-01-01,UA,2087,Sacramento,Houston
2018-01-01,UA,2086,Sacramento,San Francisco
2018-01-01,UA,2085,Houston,New Orleans
2018-01-01,UA,2083,Phoenix,Houston
2018-01-01,UA,2081,San Francisco,Sacramento
2018-01-01,UA,2080,"Kahului, Maui",San Francisco
2018-01-01,UA,2079,Cleveland,Orlando
2018-01-01,UA,2078,New York,Houston
2018-01-01,UA,2077,Norfolk,"Washington, D.C. / Dulles / Chantilly"
2018-01-01,UA,2076,Houston,Denver
2018-01-01,UA,2073,Miami,Houston
2018-01-01,UA,2072,Chicago,Fort Lauderdale
2018-01-01,UA,2071,Chicago,Denver
2018-01-01,UA,2070,San Francisco,Indianapolis
2018-01-01,UA,2069,Denver,Fort Myers
2018-01-01,UA,2068,Los Angeles,Dallas
2018-01-01,UA,2067,Houston,Tampa
2018-01-01,UA,2066,Chicago,Fort Lauderdale
2018-01-01,UA,2065,Indianapolis,San Francisco
2018-01-01,UA,2064,San Francisco,Philadelphia
2018-01-01,UA,2063,San Francisco,Baltimore
